Itterate ,RMS_Error ,MAX_ABS_U_Error ,MAX_ABS_U_Error_position_R ,MAX_ABS_U_Error_position_C ,MAX_ABS_V_Error ,MAX_ABS_V_Error_position_R ,MAX_ABS_V_Error_position_C ,MAX_RS_Error ,MAX_RS_Error_Position_R ,MAX_RS_Error_Position_C ,Bulk_Velocity_ABS_Error ,Bulk_Velocity_ABS_Error_Position_R ,Bulk_Velocity_ABS_Error_Position_C
5800,0.09816476518113962,0.0038890873479152446,56,86,0.0025406886161070223,59,93,1.6298894527211314,72,80,0.0001759014731439884,57,89
5900,0.059027105989650074,0.003962597112520946,55,85,0.0024473209469462152,59,93,1.129515484322648,72,79,0.00017293913681055723,56,87
6000,0.0692880303119122,0.0038610707038443676,54,84,0.002225450176611004,57,91,1.7507041922165594,52,99,0.00016558310885367116,56,89
6100,0.07646823709393663,0.003994117093168267,54,85,0.0023550631064124875,57,92,0.7179299184885332,71,79,0.0001744240511472544,55,88
6200,0.09136661410519438,0.0041168446807268305,53,83,0.002095003778202877,55,90,1.6980238032555495,50,99,0.00017083884930244313,54,86
6300,0.10072342149624298,0.0038754035568213125,52,83,0.002054551228536705,55,90,1.2452540983681795,48,99,0.00016303277729994036,53,85
6400,0.045454585249289046,0.004025976550126608,52,82,0.0019397748855530667,53,88,1.1763889413543924,46,99,0.00016644077202428588,53,86
6500,0.1173510936249588,0.004191395317672911,51,82,0.001777356528309888,57,70,3.2312223938010973,44,99,0.00016758171993858757,52,85
6600,0.07653062877613737,0.003936971604231091,50,81,0.0017522574512717007,52,87,1.2291667215645417,54,98,0.00016291178995030933,51,83
6700,0.09144304404635947,0.0039756689172525585,50,80,0.0018960216883983309,55,71,5.017697991031959,40,99,0.00015066619695424267,51,85
6800,0.07166958743361837,0.004112834418837178,49,80,0.0018607541628644997,55,70,2.4698867384943473,38,99,0.00015987022134894812,50,83
6900,0.08401174487219765,0.004052947366879098,49,77,0.001929186965706038,54,70,6.161743471105994,36,99,0.00015774156410462936,49,81
7000,0.09898642313918855,0.00388364106646593,48,78,0.0020313904529221374,53,70,4.132839600396379,30,99,0.0001389605512103194,49,82
7100,0.06440179257943657,0.003847564483454153,48,76,0.001975790313687122,53,69,0.6998020945636316,28,99,0.00014880273505431789,48,79
7200,0.09934985864114453,0.004026274706411072,47,76,0.002088985218170733,53,68,1.6377827443601196,46,98,0.0001455682044800105,47,78
7300,0.05204295990733032,0.0037401288218277644,47,74,0.0020706611141849303,52,68,0.9010576110113618,44,98,0.00013987866268343083,47,76
7400,0.08004037924618897,0.0036743826957422974,46,74,0.002109269917866704,52,67,3.4209680593607628,71,78,0.00013257436116536042,46,76
7500,0.08548766963178073,0.003751509516034448,46,72,0.0021399593423192037,52,66,2.8081169892744815,42,98,0.0001379341438490204,46,74
7600,0.05652025728147855,0.0036915798661969635,45,72,0.002189055840061828,54,69,2.0907799312830098,42,98,0.00013343899049162122,46,72
7700,0.08260356170731267,0.0033910903889128874,45,71,0.0021914370997526854,51,65,3.0859147749081863,40,98,0.00012421396634665154,45,72
7800,0.05597444636725905,0.0033736807197219908,45,69,0.002178829214011682,54,67,1.930087043759855,38,98,0.0001232509107504342,45,70
7900,0.06976923479891363,0.0034908026966410394,44,69,0.0022355032677163654,53,67,1.6309420861266077,38,98,0.00012774230550361343,45,69
8000,0.07654070874659367,0.0032087636587311355,44,67,0.002259362099087005,53,66,2.9553591370449768,34,98,0.00011809608500643916,44,69
8100,0.09123562284453192,0.0030267928091792674,44,66,0.0022885286720643588,53,65,1.1954907660717633,36,98,0.00011050039259106743,44,67
8200,0.08587179097129646,0.0031681037301325085,44,65,0.002229346765752699,54,64,1.7986305349682437,68,78,0.00011808456771733426,44,66
8300,0.05982423163704512,0.0030282210634557383,44,64,0.0023014697715372893,54,63,0.8492702987197225,67,78,0.00011485768690892243,44,65
8400,0.09021528709970698,0.002739197781966624,44,62,0.0022165424822076117,52,63,4.396198322697677,67,78,0.00010319795182875489,44,63
8500,0.06684415775916451,0.0027717681643268464,44,61,0.0021861941677115,53,62,0.9701822091631511,66,78,0.00010450320949275153,44,62
8600,0.10198381358544466,0.0028541657260898693,44,60,0.0022587186499881586,54,61,4.861095940024168,66,78,0.00010821600934791216,44,61
8700,0.0965915181007424,0.002642444555376395,44,59,0.0022043670000608633,54,60,2.8674896637429126,93,87,0.00010079915531822621,44,60
8800,0.12196836111770576,0.002430307156584023,44,58,0.0021040941932544237,54,59,3.0262382021511356,89,95,9.246032061409061e-5,44,59
8900,0.2002508215176159,0.002561668266317799,45,56,0.0020599738197811454,50,54,13.486581696128864,94,88,9.842325766012917e-5,45,57
9000,0.09974057501335974,0.002543663106765806,45,55,0.002072492279757988,54,58,4.108949520754977,86,95,9.835928042742841e-5,45,57
9100,0.10707296342979855,0.0022384990427661376,45,54,0.002045082099342125,51,52,2.010537610247499,85,95,9.062243216131558e-5,52,95
9200,0.08404192749530345,0.0023136166574627068,46,53,0.0020045172338337344,52,51,3.0289016877470494,63,77,8.813043519464731e-5,46,89
