Itterate ,Time ,RMS_Error ,MAX_ABS_U_Error ,MAX_ABS_U_Error_position_X ,MAX_ABS_U_Error_position_Y ,MAX_ABS_V_Error ,MAX_ABS_V_Error_position_X, MAX_ABS_V_Error_position_Y ,MAX_RS_Error ,MAX_RS_Error_Position_X ,MAX_RS_Error_Position_Y ,Bulk_Velocity_ABS_Error ,Bulk_Velocity_ABS_Error_Position_X ,Bulk_Velocity_ABS_Error_Position_Y
141001,37.2572,1.11172,0.0372008,446,212,0.0551206,367,432,147.441,238,89,0.00226449,465,205,
142001,37.5214,1.16629,0.0405628,445,200,0.055888,367,432,184.075,348,4,0.00244045,367,432,
143001,37.7857,0.983531,0.0379061,443,202,0.0426941,367,432,119.177,182,77,0.00484329,323,435,
144001,38.0499,1.09925,0.0453438,343,435,0.0476683,367,432,238.441,499,168,0.0066615,343,435,
145001,38.3141,0.915748,0.0434123,457,169,0.0454157,367,432,129.105,62,317,0.00573107,337,435,
146001,38.5784,1.23272,0.0351287,308,406,0.0489233,325,396,329.191,155,131,0.0052717,376,407,
147001,38.8426,1.13886,0.0389624,385,385,0.0516473,367,432,127.551,390,382,0.00528014,405,340,
148001,39.1068,1.26909,0.0406215,391,358,0.0563716,405,341,285.172,256,1,0.00639287,405,341,
149001,39.3711,1.4233,0.0442038,397,352,0.0572928,395,368,160.668,412,336,0.00434268,435,265,
150001,39.6353,1.187,0.0448823,388,361,0.0532437,403,348,96.9986,315,1,0.00396935,435,266,
151001,39.8995,1.95097,0.0465092,428,231,0.0490124,408,338,637.79,108,225,0.0035128,402,341,
152001,40.1638,1.24228,0.0496715,411,289,0.0514968,367,433,245.757,496,48,0.00305231,418,299,
153001,40.428,1.58511,0.0542995,417,260,0.0542057,367,432,441.633,367,434,0.00246865,441,161,
154001,40.6922,0.986506,0.0439868,416,237,0.0480721,367,432,164.306,461,122,0.00292702,430,282,
155001,40.9565,5.24535,0.0489763,431,212,0.0474623,367,433,2027.15,501,164,0.00415164,125,436,
156001,41.2207,1.09764,0.0388615,120,435,0.050496,367,432,205.681,517,132,0.00361351,139,436,
157001,41.4849,0.920309,0.0375048,134,435,0.0420469,367,432,87.6637,531,104,0.00390261,133,436,
158001,41.7492,1.03963,0.0312127,128,435,0.0447526,367,432,191.505,66,309,0.00368345,273,435,
159001,42.0134,1.30245,0.0331694,338,183,0.0411231,367,433,257.022,490,186,0.00332185,344,435,
160001,42.2776,1.0816,0.0383587,321,206,0.0361632,367,433,155.791,537,92,0.00359681,193,435,
161001,42.5419,1.42576,0.0438374,307,226,0.0636415,397,363,299.802,484,197,0.00555301,331,435,
162001,42.8061,1.15667,0.0514737,325,435,0.0415637,398,363,272.873,246,338,0.00741077,325,435,
163001,43.0703,1.05855,0.0508512,397,339,0.0420484,367,432,225.915,424,153,0.00588793,288,435,
164001,43.3346,2.51201,0.0587037,395,322,0.0458682,396,368,910.25,496,174,0.00590982,336,435,
165001,43.5988,1.02602,0.0442651,386,387,0.0459048,411,321,185.673,199,285,0.00549659,373,413,
166001,43.863,0.996378,0.0488049,385,380,0.0444513,391,377,138.434,555,56,0.00364674,384,381,
167001,44.1273,1.56934,0.053417,402,339,0.041996,433,254,508.308,559,48,0.00343642,107,436,
168001,44.3915,1.67938,0.047511,411,323,0.0394114,402,333,409.501,433,295,0.00339676,99,436,
169001,44.6557,0.908355,0.0539231,414,314,0.0468608,367,433,77.3118,570,26,0.00338087,90,436,
170001,44.92,1.26404,0.0448355,464,191,0.0564046,436,254,323.909,453,260,0.00489648,435,255,
171001,45.1842,1.14617,0.0397738,469,165,0.0474241,433,258,216.117,265,216,0.00458992,434,257,
172001,45.4484,2.74465,0.0382212,469,181,0.0436223,417,314,1014.52,520,126,0.0035146,69,436,
173001,45.7127,0.789983,0.0399073,471,185,0.0371453,439,279,56.4211,509,128,0.00302657,65,436,
174001,45.9769,2.0208,0.0483796,491,136,0.032054,367,432,717.61,168,105,0.00455986,338,435,
175001,46.2411,1.52175,0.0362321,451,214,0.0311206,505,129,386.499,187,102,0.00421371,349,435,
176001,46.5054,1.33798,0.0464015,331,435,0.0291609,508,145,374.524,256,382,0.00553856,332,435,
177001,46.7696,0.884388,0.0415014,328,435,0.0578361,367,432,88.7916,266,381,0.00557646,327,435,
178001,47.0338,2.71153,0.0444071,343,435,0.0517011,367,432,1022.23,369,430,0.00672658,343,435,
179001,47.2981,1.09784,0.0505913,389,366,0.0593582,389,363,241.798,397,169,0.00622953,342,435,
180001,47.5623,1.10504,0.0486651,395,342,0.0473372,480,82,165.693,558,50,0.00523234,341,435,
181001,47.8265,1.04804,0.0504698,395,359,0.0489424,389,380,133.684,210,21,0.00425945,311,435,
182001,48.0908,0.942467,0.0534634,397,362,0.0582633,367,432,80.1469,382,301,0.00420277,338,435,
183001,48.355,1.18246,0.0569603,400,302,0.0544844,367,432,223.909,521,124,0.00384671,374,412,
184001,48.6192,0.902859,0.0689875,415,307,0.0582971,404,299,97.152,440,286,0.00367329,397,343,
185001,48.8835,0.973321,0.0553985,398,320,0.0588863,401,355,150.765,396,35,0.00333623,355,435,
