Itterate ,Time ,RMS_Error ,MAX_ABS_U_Error ,MAX_ABS_U_Error_position_X ,MAX_ABS_U_Error_position_Y ,MAX_ABS_V_Error ,MAX_ABS_V_Error_position_X, MAX_ABS_V_Error_position_Y ,MAX_RS_Error ,MAX_RS_Error_Position_X ,MAX_RS_Error_Position_Y ,Bulk_Velocity_ABS_Error ,Bulk_Velocity_ABS_Error_Position_X ,Bulk_Velocity_ABS_Error_Position_Y
89001,89.9046,0.826195,0.0200923,145,3,0.0184651,152,17,43.8006,17,109,0.00138647,150,25,
90001,90.9147,1.48245,0.0182234,134,3,0.0257954,153,20,106.644,165,43,0.00138055,147,22,
91001,91.9249,1.4483,0.0214457,137,3,0.0182837,153,21,82.9833,99,1,0.00131793,136,3,
92001,92.935,1.94522,0.0200073,140,2,0.0272467,151,20,202.58,87,8,0.00129399,142,18,
93001,93.9452,2.66722,0.0319121,141,2,0.0283314,154,20,307.086,171,12,0.00139596,135,3,
94001,94.9553,1.17372,0.0201421,146,5,0.019273,150,10,115.396,23,102,0.00109217,149,23,
95001,95.9655,1.35745,0.022816,161,15,0.0224133,154,20,97.8188,59,26,0.00127655,145,20,
96001,96.9757,0.927362,0.0233306,136,3,0.028879,154,20,51.5794,166,39,0.00153677,145,20,
97001,97.9858,1.04192,0.0261706,145,2,0.0360117,154,22,31.6785,70,5,0.0017928,146,21,
98001,98.996,1.19375,0.0321382,145,2,0.0362027,154,23,42.7205,170,13,0.00181419,153,26,
99001,100.006,1.90276,0.0308177,143,2,0.027711,155,20,217.011,55,34,0.00139574,154,24,
100001,101.016,1.30876,0.0300642,144,2,0.022378,156,22,70.9573,77,11,0.00112805,140,3,
101001,102.026,1.08181,0.018663,157,16,0.0228708,161,10,59.6945,180,1,0.00104361,127,3,
102001,103.037,0.816658,0.0145826,68,30,0.0166484,155,13,43.3126,61,22,0.00101839,150,25,
103001,104.047,1.60249,0.0215218,159,3,0.0171938,44,59,103.181,69,8,0.000878565,44,61,
104001,105.057,1.50922,0.0157404,160,15,0.0144912,48,51,113.509,182,2,0.000967414,148,13,
105001,106.067,1.15121,0.0211569,139,2,0.0154751,164,9,66.2566,67,24,0.000902942,134,12,
106001,107.077,1.297,0.0129819,65,31,0.0114791,53,40,67.8977,51,42,0.000782138,112,5,
107001,108.087,3.35116,0.0114749,33,136,0.0171918,46,55,383.314,57,30,0.000895013,46,57,
108001,109.097,1.48282,0.0219148,143,2,0.0219521,154,22,112.339,160,54,0.00147574,145,20,
109001,110.108,2.23659,0.0195285,144,2,0.0199621,153,19,239.804,79,12,0.00122351,145,20,
110001,111.118,0.869082,0.0211499,138,2,0.0247293,152,17,42.2946,18,138,0.00106318,142,17,
111001,112.128,1.8213,0.0352789,155,3,0.0403759,154,15,80.8368,78,12,0.00165028,152,19,
112001,113.138,1.60563,0.0365527,158,3,0.0236728,153,18,94.273,125,1,0.00139655,145,17,
113001,114.148,1.44167,0.0204484,125,3,0.0227907,156,24,109.87,163,22,0.0011809,96,16,
114001,115.158,1.52821,0.0261582,162,17,0.0305148,156,21,70.713,57,30,0.00156489,147,21,
115001,116.169,2.23251,0.0246381,145,2,0.0208971,43,61,135.737,82,2,0.00109036,43,62,
116001,117.179,1.20211,0.0197544,146,4,0.0188208,149,16,100.936,27,91,0.00131083,141,14,
117001,118.189,1.06107,0.0154605,147,4,0.0202759,149,15,41.377,161,32,0.00116871,141,14,
118001,119.199,0.899284,0.016321,71,27,0.0179434,45,57,78.9408,165,9,0.00113043,129,3,
119001,120.209,1.45888,0.0211384,160,4,0.0247322,157,20,75.0984,70,4,0.00105727,157,38,
120001,121.219,1.12617,0.023567,147,2,0.0264496,157,20,107.561,78,12,0.00130557,147,21,
121001,122.229,4.41686,0.0218747,151,2,0.0187462,152,16,343.494,58,31,0.00110283,152,18,
122001,123.24,1.02637,0.0204793,160,15,0.0160662,149,15,86.6442,17,109,0.00114835,143,15,
123001,124.25,2.4962,0.0195234,74,24,0.0197442,59,28,249.699,53,38,0.00107819,129,3,
124001,125.26,1.133,0.0237292,145,2,0.0230026,155,18,63.7469,62,20,0.00113725,139,11,
125001,126.27,1.43628,0.017056,145,2,0.016479,154,19,81.4669,29,88,0.000807267,152,27,
126001,127.28,1.746,0.0176703,138,2,0.0186189,153,16,190.144,53,38,0.00100945,142,15,
127001,128.29,1.46964,0.0230094,159,12,0.02764,152,16,145.987,6,131,0.00137279,149,24,
128001,129.301,0.867496,0.0251874,159,12,0.0271661,152,15,32.7722,31,82,0.00153667,144,16,
129001,130.311,4.35492,0.0187149,161,4,0.0144233,152,18,551.774,182,4,0.00114872,133,3,
130001,131.321,0.913746,0.0205971,63,34,0.0241697,51,44,62.5842,166,1,0.00111528,145,18,
131001,132.331,1.24499,0.0235344,158,3,0.0190447,40,67,48.2726,72,14,0.00103047,40,69,
132001,133.341,0.967015,0.0214386,154,3,0.0235934,155,11,49.386,181,5,0.00102485,144,16,
133001,134.351,1.04574,0.0290457,155,2,0.0188775,153,16,42.8824,174,1,0.00125754,144,16,
134001,135.361,0.821685,0.0159202,33,136,0.0239715,155,23,41.9388,25,95,0.00118602,149,24,
135001,136.372,0.974616,0.0231928,160,3,0.0302886,157,21,60.2085,17,109,0.00131184,149,24,
136001,137.382,2.02765,0.0256396,149,2,0.0294275,149,12,157.977,52,40,0.00141014,147,21,
137001,138.392,0.736527,0.024031,159,19,0.0231983,158,31,24.2392,174,1,0.00113238,157,33,
138001,139.402,1.34504,0.0166082,148,6,0.0202245,152,19,72.2329,23,97,0.0011714,142,16,
139001,140.412,0.941452,0.0213932,140,2,0.0204902,151,18,47.1281,157,16,0.00124367,142,16,
140001,141.422,0.686241,0.0196157,159,13,0.0290416,150,18,37.5952,166,17,0.00154607,142,16,
141001,142.433,1.57091,0.0286344,138,2,0.0290109,151,18,78.8501,179,16,0.00163304,142,17,
142001,143.443,1.05849,0.0304148,141,2,0.0266814,156,17,68.3255,169,19,0.00136596,145,17,
143001,144.453,1.34335,0.0239703,141,2,0.0176615,51,44,118.529,31,82,0.00110777,138,3,
144001,145.463,3.10623,0.0199208,66,31,0.0187861,156,31,388.45,169,1,0.000943311,152,30,
145001,146.473,1.62248,0.0187658,144,6,0.0195412,147,14,160.874,77,10,0.00130129,140,14,
146001,147.483,1.52211,0.0260203,158,20,0.0267007,148,15,124.404,92,3,0.00154068,148,22,
147001,148.493,1.60133,0.021772,158,20,0.014476,149,13,147.445,179,1,0.00115605,127,3,
148001,149.504,0.626546,0.0154932,72,24,0.0133895,43,61,18.7734,22,100,0.000744064,43,63,
